configurationId,repetition,caseId,truePositives,falsePositives,falseNegatives,runtimeMs,estimatedCostUsd
v03-swarm-debate-static,1,failed-payment-retry,1,0,0,9879,0.0007566
v03-swarm-debate-static,1,invoice-audit-omission,1,0,0,10251,0.0008038499999999999
v03-swarm-debate-static,1,notification-cancellation,1,0,0,10249,0.00071595
v03-swarm-debate-static,1,notification-opt-out,1,0,0,10760,0.0007367999999999999
v03-swarm-debate-static,1,profile-validation,1,0,0,10710,0.00079395
v03-swarm-debate-static,1,role-change-regression,1,0,0,10016,0.00075105
v03-swarm-debate-static,1,starter-seat-limit,1,0,0,11596,0.0008345999999999999
v03-swarm-debate-static,1,trial-cancellation,1,0,0,10014,0.0007215
v03-swarm-debate-static,2,admin-invite-authorization,1,0,0,11814,0.0007892999999999999
v03-swarm-debate-static,2,dashboard-export-ux,1,0,0,10823,0.00073545
v03-swarm-debate-static,2,failed-payment-retry,1,0,0,12431,0.000771
v03-swarm-debate-static,2,invoice-audit-omission,1,0,0,10653,0.0008479500000000001
v03-swarm-debate-static,2,notification-cancellation,1,0,0,10501,0.00071895
v03-swarm-debate-static,2,notification-opt-out,1,0,0,10690,0.0007332
v03-swarm-debate-static,2,profile-validation,1,0,0,9995,0.00081825
v03-swarm-debate-static,2,role-change-regression,1,0,0,24209,0.0007296
v03-swarm-debate-static,2,starter-seat-limit,1,0,0,12091,0.00087855
v03-swarm-debate-static,2,trial-cancellation,1,0,0,10595,0.0007730999999999999
v03-swarm-debate-static,3,admin-invite-authorization,1,0,0,11053,0.0008038499999999999
v03-swarm-debate-static,3,dashboard-export-ux,1,0,0,10314,0.0007494
v03-swarm-debate-static,3,failed-payment-retry,1,0,0,9611,0.0007767000000000001
v03-swarm-debate-static,3,invoice-audit-omission,1,0,0,10366,0.000846
v03-swarm-debate-static,3,notification-cancellation,1,0,0,11948,0.0007425
v03-swarm-debate-static,3,notification-opt-out,1,0,0,10344,0.00078675
v03-swarm-debate-static,3,profile-validation,1,0,0,10345,0.00082425
v03-swarm-debate-static,3,role-change-regression,1,0,0,8624,0.000732
v03-swarm-debate-static,3,starter-seat-limit,1,0,0,11243,0.0008470499999999999
v03-swarm-debate-static,3,trial-cancellation,1,0,0,9459,0.00072615
v03-swarm-no-debate,1,admin-invite-authorization,1,0,0,9346,0.0006387000000000001
v03-swarm-no-debate,1,dashboard-export-ux,1,0,0,7432,0.0005754
v03-swarm-no-debate,1,failed-payment-retry,1,0,0,7713,0.00059115
v03-swarm-no-debate,1,invoice-audit-omission,1,0,0,7873,0.0006738
v03-swarm-no-debate,1,notification-cancellation,1,0,0,8405,0.00058695
v03-swarm-no-debate,1,notification-opt-out,1,0,0,8362,0.0005586
v03-swarm-no-debate,1,profile-validation,1,0,0,8089,0.00063165
v03-swarm-no-debate,1,role-change-regression,1,0,0,8617,0.00056805
v03-swarm-no-debate,1,starter-seat-limit,1,0,0,8876,0.0006253499999999999
v03-swarm-no-debate,1,trial-cancellation,1,0,0,8364,0.00056535
v03-swarm-no-debate,2,admin-invite-authorization,1,0,0,8266,0.00062055
v03-swarm-no-debate,2,dashboard-export-ux,1,0,0,7431,0.0005728500000000001
v03-swarm-no-debate,2,failed-payment-retry,1,0,0,8359,0.00057945
v03-swarm-no-debate,2,invoice-audit-omission,1,0,0,9556,0.0007678499999999999
v03-swarm-no-debate,2,notification-cancellation,1,0,0,8926,0.00058815
v03-swarm-no-debate,2,notification-opt-out,1,0,0,8026,0.0005806499999999999
v03-swarm-no-debate,2,profile-validation,1,0,0,7725,0.00060105
v03-swarm-no-debate,2,role-change-regression,1,0,0,7045,0.00056175
v03-swarm-no-debate,2,starter-seat-limit,1,0,0,8899,0.00066855
v03-swarm-no-debate,2,trial-cancellation,1,0,0,7973,0.0005667
v03-swarm-no-debate,3,admin-invite-authorization,1,0,0,7960,0.00061215
v03-swarm-no-debate,3,dashboard-export-ux,1,0,0,8274,0.0006135
v03-swarm-no-debate,3,failed-payment-retry,1,0,0,8341,0.0005861999999999999
v03-swarm-no-debate,3,invoice-audit-omission,1,0,0,9639,0.0007335
v03-swarm-no-debate,3,notification-cancellation,1,0,0,8949,0.00062955
v03-swarm-no-debate,3,notification-opt-out,1,0,0,12347,0.00054315
v03-swarm-no-debate,3,profile-validation,1,0,0,8555,0.000639
v03-swarm-no-debate,3,role-change-regression,1,0,0,7470,0.00055515
v03-swarm-no-debate,3,starter-seat-limit,1,0,0,7840,0.00063255
v03-swarm-no-debate,3,trial-cancellation,1,0,0,8285,0.0005704499999999999
v03-swarm-with-debate,1,admin-invite-authorization,1,0,0,11588,0.00076755
v03-swarm-with-debate,1,dashboard-export-ux,1,0,0,11652,0.0007213499999999999
v03-swarm-with-debate,1,failed-payment-retry,1,0,0,9457,0.00072915
v03-swarm-with-debate,1,invoice-audit-omission,1,0,0,12359,0.0008428499999999999
v03-swarm-with-debate,1,notification-cancellation,1,0,0,9584,0.0007347
v03-swarm-with-debate,1,notification-opt-out,1,0,0,10336,0.00070425
v03-swarm-with-debate,1,profile-validation,1,0,0,12616,0.0009640499999999999
v03-swarm-with-debate,1,role-change-regression,1,0,0,8885,0.00070665
v03-swarm-with-debate,1,starter-seat-limit,1,0,0,10071,0.0007878
v03-swarm-with-debate,1,trial-cancellation,1,0,0,10413,0.00069795
v03-swarm-with-debate,2,admin-invite-authorization,1,0,0,11305,0.00088035
v03-swarm-with-debate,2,dashboard-export-ux,1,0,0,9230,0.0007362
v03-swarm-with-debate,2,failed-payment-retry,1,0,0,9381,0.0006763499999999999
v03-swarm-with-debate,2,invoice-audit-omission,1,0,0,11391,0.0008637
v03-swarm-with-debate,2,notification-cancellation,1,0,0,10373,0.0007730999999999999
v03-swarm-with-debate,2,notification-opt-out,1,0,0,9896,0.0007143
v03-swarm-with-debate,2,profile-validation,1,0,0,11664,0.0008903999999999999
v03-swarm-with-debate,2,role-change-regression,1,0,0,9144,0.0007053
v03-swarm-with-debate,2,starter-seat-limit,1,0,0,11638,0.0008458499999999999
v03-swarm-with-debate,2,trial-cancellation,1,0,0,10549,0.00074205
v03-swarm-with-debate,3,admin-invite-authorization,1,0,0,13182,0.0007854
v03-swarm-with-debate,3,dashboard-export-ux,1,0,0,12811,0.0007670999999999999
v03-swarm-with-debate,3,failed-payment-retry,1,0,0,14619,0.0007329
v03-swarm-with-debate,3,invoice-audit-omission,1,0,0,13630,0.00083325
v03-swarm-with-debate,3,notification-cancellation,1,0,0,15025,0.0007296
v03-swarm-with-debate,3,notification-opt-out,1,0,0,13016,0.0007100999999999999
v03-swarm-with-debate,3,profile-validation,1,0,0,14682,0.0007744499999999999
v03-swarm-with-debate,3,role-change-regression,1,0,0,13136,0.00076065
v03-swarm-with-debate,3,starter-seat-limit,1,0,0,14349,0.0008315999999999999
v03-swarm-with-debate,3,trial-cancellation,1,0,0,13310,0.0006965999999999999
